cultivo,periodo,provincia,departamento,sup_sem_ha,sup_cos_ha,rend_kgxha,prod_ton
POROTO,1969,CATAMARCA,EL ALTO,13,13.0,1000.0,13
POROTO,1969,CATAMARCA,SANTA ROSA,6,6.0,1000.0,6
POROTO,1969,CORDOBA,SANTA MARIA,9000,4500.0,206.0,927
POROTO,1969,JUJUY,EL CARMEN,500,500.0,1000.0,500
POROTO,1969,JUJUY,SAN ANTONIO,15,15.0,1000.0,15
POROTO,1969,SALTA,ANTA,1000,1000.0,1100.0,1100
POROTO,1969,SALTA,CACHI,400,400.0,1500.0,600
POROTO,1969,SALTA,CAPITAL,40,40.0,1100.0,44
POROTO,1969,SALTA,CERRILLOS,1500,1500.0,1000.0,1500
POROTO,1969,SALTA,CHICOANA,600,600.0,1000.0,600
POROTO,1969,SALTA,GENERAL GUEMES,200,200.0,1000.0,200
POROTO,1969,SALTA,LA CANDELARIA,2000,2000.0,1000.0,2000
POROTO,1969,SALTA,LA VINA,60,60.0,1000.0,60
POROTO,1969,SALTA,METAN,8000,8000.0,1000.0,8000
POROTO,1969,SALTA,ROSARIO DE LA FRONTERA,18000,18000.0,1100.0,19800
POROTO,1969,SALTA,ROSARIO DE LERMA,530,530.0,1445.0,765
POROTO,1969,TUCUMAN,CRUZ ALTA,100,100.0,800.0,80
POROTO,1969,TUCUMAN,TRANCAS,900,900.0,689.0,620
POROTO,1970,CATAMARCA,EL ALTO,11,11.0,727.0,7
POROTO,1970,CATAMARCA,SANTA ROSA,3,3.0,667.0,2
POROTO,1970,CORDOBA,SANTA MARIA,12000,11200.0,947.0,10606
POROTO,1970,JUJUY,EL CARMEN,400,400.0,800.0,320
POROTO,1970,JUJUY,SAN ANTONIO,9,9.0,889.0,8
POROTO,1970,SALTA,ANTA,1200,1200.0,1000.0,1200
POROTO,1970,SALTA,CACHI,400,120.0,900.0,108
POROTO,1970,SALTA,CAPITAL,40,40.0,900.0,36
POROTO,1970,SALTA,CERRILLOS,1500,1300.0,900.0,1170
POROTO,1970,SALTA,CHICOANA,600,540.0,900.0,486
POROTO,1970,SALTA,GENERAL GUEMES,250,250.0,900.0,225
POROTO,1970,SALTA,LA CANDELARIA,2500,1900.0,1000.0,1900
POROTO,1970,SALTA,LA VINA,80,80.0,900.0,72
POROTO,1970,SALTA,METAN,10000,9500.0,950.0,9025
POROTO,1970,SALTA,ROSARIO DE LA FRONTERA,30000,29200.0,999.0,29170
POROTO,1970,SALTA,ROSARIO DE LERMA,550,490.0,1000.0,490
POROTO,1970,TUCUMAN,CRUZ ALTA,100,100.0,800.0,80
POROTO,1970,TUCUMAN,TRANCAS,900,900.0,700.0,630
POROTO,1971,CORDOBA,SANTA MARIA,9380,8880.0,842.0,7476
POROTO,1971,JUJUY,EL CARMEN,198,198.0,1010.0,199
POROTO,1971,JUJUY,SAN ANTONIO,10,10.0,900.0,9
POROTO,1971,SALTA,ANTA,1980,1980.0,909.0,1799
POROTO,1971,SALTA,CACHI,400,400.0,1000.0,400
POROTO,1971,SALTA,CAPITAL,50,50.0,1000.0,50
POROTO,1971,SALTA,CERRILLOS,1500,1500.0,900.0,1350
POROTO,1971,SALTA,CHICOANA,700,700.0,890.0,623
POROTO,1971,SALTA,GENERAL GUEMES,300,300.0,1000.0,300
POROTO,1971,SALTA,LA CANDELARIA,3000,3000.0,957.0,2871
POROTO,1971,SALTA,LA VINA,100,100.0,1000.0,100
POROTO,1971,SALTA,METAN,15000,15000.0,957.0,14355
POROTO,1971,SALTA,ROSARIO DE LA FRONTERA,25000,25000.0,958.0,23950
POROTO,1971,SALTA,ROSARIO DE LERMA,600,600.0,900.0,540
POROTO,1971,TUCUMAN,TRANCAS,2150,2150.0,767.0,1649
POROTO,1972,CORDOBA,SANTA MARIA,8500,5000.0,925.0,4625
POROTO,1972,JUJUY,EL CARMEN,400,400.0,1000.0,400
POROTO,1972,SALTA,ANTA,4000,4000.0,1100.0,4400
POROTO,1972,SALTA,CACHI,400,400.0,1000.0,400
POROTO,1972,SALTA,CAPITAL,100,100.0,1100.0,110
POROTO,1972,SALTA,CERRILLOS,2000,2000.0,1100.0,2200
POROTO,1972,SALTA,CHICOANA,680,680.0,1049.0,713
POROTO,1972,SALTA,GENERAL GUEMES,400,400.0,1000.0,400
POROTO,1972,SALTA,LA CANDELARIA,5000,5000.0,900.0,4500
POROTO,1972,SALTA,LA VINA,100,100.0,1000.0,100
POROTO,1972,SALTA,METAN,25000,25000.0,900.0,22500
POROTO,1972,SALTA,ROSARIO DE LA FRONTERA,31000,31000.0,900.0,27900
POROTO,1972,SALTA,ROSARIO DE LERMA,1000,1000.0,1000.0,1000
POROTO,1972,TUCUMAN,TRANCAS,1700,1210.0,983.0,1189
POROTO,1973,CORDOBA,SANTA MARIA,20000,20000.0,900.0,18000
POROTO,1973,JUJUY,EL CARMEN,500,500.0,900.0,450
POROTO,1973,SALTA,ANTA,3970,3700.0,995.0,3681
POROTO,1973,SALTA,CACHI,400,400.0,1000.0,400
POROTO,1973,SALTA,CAPITAL,150,150.0,1000.0,150
POROTO,1973,SALTA,CERRILLOS,2500,2500.0,966.0,2415
POROTO,1973,SALTA,CHICOANA,700,700.0,1000.0,700
POROTO,1973,SALTA,GENERAL GUEMES,1000,900.0,978.0,880
POROTO,1973,SALTA,LA CANDELARIA,8000,8000.0,1090.0,8720
POROTO,1973,SALTA,LA VINA,150,150.0,1000.0,150
POROTO,1973,SALTA,METAN,22050,22050.0,1165.0,25688
POROTO,1973,SALTA,ORAN,400,400.0,1000.0,400
POROTO,1973,SALTA,ROSARIO DE LA FRONTERA,38000,38000.0,1163.0,44194
POROTO,1973,SALTA,ROSARIO DE LERMA,960,960.0,1000.0,960
POROTO,1973,SANTIAGO DEL ESTERO,PELLEGRINI,700,200.0,1700.0,340
POROTO,1973,TUCUMAN,BURRUYACU,50,50.0,1180.0,59
POROTO,1973,TUCUMAN,CRUZ ALTA,140,140.0,1093.0,153
POROTO,1973,TUCUMAN,GRANEROS,1400,1260.0,1033.0,1301
POROTO,1973,TUCUMAN,TRANCAS,2000,2000.0,1050.0,2100
POROTO,1974,CORDOBA,SANTA MARIA,21000,20000.0,950.0,19000
POROTO,1974,JUJUY,EL CARMEN,700,700.0,907.0,634
POROTO,1974,SALTA,ANTA,7000,7000.0,900.0,6300
POROTO,1974,SALTA,CACHI,400,400.0,1000.0,400
POROTO,1974,SALTA,CAPITAL,200,200.0,1000.0,200
POROTO,1974,SALTA,CERRILLOS,4400,4400.0,782.0,3440
POROTO,1974,SALTA,CHICOANA,800,800.0,900.0,720
POROTO,1974,SALTA,GENERAL GUEMES,1450,1450.0,897.0,1300
POROTO,1974,SALTA,GENERAL JOSE DE SAN MARTIN,1000,1000.0,1000.0,1000
POROTO,1974,SALTA,LA CANDELARIA,11000,8000.0,685.0,5480
POROTO,1974,SALTA,LA VINA,200,200.0,900.0,180
POROTO,1974,SALTA,METAN,29000,28000.0,742.0,20776
POROTO,1974,SALTA,ORAN,1000,1000.0,900.0,900
POROTO,1974,SALTA,ROSARIO DE LA FRONTERA,48500,44500.0,613.0,27278
POROTO,1974,SALTA,ROSARIO DE LERMA,1500,1500.0,800.0,1200
POROTO,1974,SANTIAGO DEL ESTERO,PELLEGRINI,1100,910.0,1187.0,1080
POROTO,1974,TUCUMAN,BURRUYACU,7000,7000.0,1200.0,8400
POROTO,1974,TUCUMAN,CRUZ ALTA,350,350.0,1300.0,455
POROTO,1974,TUCUMAN,GRANEROS,3500,1750.0,999.0,1748
POROTO,1974,TUCUMAN,LEALES,300,300.0,1000.0,300
POROTO,1974,TUCUMAN,TRANCAS,2700,760.0,995.0,756
POROTO,1975,CATAMARCA,EL ALTO,30,30.0,800.0,24
POROTO,1975,CATAMARCA,SANTA ROSA,60,60.0,800.0,48
POROTO,1975,CORDOBA,SANTA MARIA,10110,9950.0,700.0,6965
POROTO,1975,JUJUY,EL CARMEN,300,300.0,1050.0,315
POROTO,1975,JUJUY,SAN PEDRO,200,200.0,1200.0,240
POROTO,1975,SALTA,ANTA,6700,6700.0,1110.0,7437
POROTO,1975,SALTA,CAPITAL,250,250.0,1500.0,375
POROTO,1975,SALTA,CERRILLOS,8125,8125.0,1600.0,13000
POROTO,1975,SALTA,CHICOANA,1500,1500.0,1467.0,2200
POROTO,1975,SALTA,GENERAL GUEMES,1450,1450.0,1010.0,1464
POROTO,1975,SALTA,GENERAL JOSE DE SAN MARTIN,5500,5500.0,1200.0,6600
POROTO,1975,SALTA,LA CANDELARIA,8800,8800.0,1109.0,9759
POROTO,1975,SALTA,LA VINA,710,710.0,1338.0,949
POROTO,1975,SALTA,METAN,28450,28450.0,1095.0,31152
POROTO,1975,SALTA,ORAN,1500,1500.0,1200.0,1800
POROTO,1975,SALTA,ROSARIO DE LA FRONTERA,48145,48145.0,1103.0,53103
POROTO,1975,SALTA,ROSARIO DE LERMA,2500,2500.0,1600.0,4000
POROTO,1975,SANTIAGO DEL ESTERO,JIMENEZ,600,455.0,1923.0,874
POROTO,1975,SANTIAGO DEL ESTERO,PELLEGRINI,6000,4330.0,2202.0,9534
POROTO,1975,TUCUMAN,BURRUYACU,6300,6300.0,1206.0,7597
POROTO,1975,TUCUMAN,CRUZ ALTA,750,750.0,1300.0,975
POROTO,1975,TUCUMAN,GRANEROS,3000,3000.0,1192.0,3576
POROTO,1975,TUCUMAN,LEALES,372,372.0,1099.0,408
POROTO,1975,TUCUMAN,TRANCAS,2800,2800.0,1229.0,3441
POROTO,1976,CATAMARCA,EL ALTO,30,30.0,900.0,27
POROTO,1976,CATAMARCA,SANTA ROSA,60,60.0,900.0,54
POROTO,1976,CORDOBA,SANTA MARIA,6890,6890.0,762.0,5250
POROTO,1976,JUJUY,EL CARMEN,590,590.0,1403.0,827
POROTO,1976,JUJUY,SAN PEDRO,650,650.0,1400.0,910
POROTO,1976,JUJUY,SANTA BARBARA,400,400.0,1400.0,560
POROTO,1976,SALTA,ANTA,19000,19000.0,1368.0,25992
POROTO,1976,SALTA,CACHI,130,130.0,1346.0,174
POROTO,1976,SALTA,CAPITAL,250,250.0,1400.0,350
POROTO,1976,SALTA,CERRILLOS,8000,7850.0,1204.0,9451
POROTO,1976,SALTA,CHICOANA,1700,1700.0,1176.0,1999
POROTO,1976,SALTA,GENERAL GUEMES,1000,1000.0,1200.0,1200
POROTO,1976,SALTA,GENERAL JOSE DE SAN MARTIN,6000,6000.0,1300.0,7800
POROTO,1976,SALTA,LA CANDELARIA,10000,10000.0,1150.0,11500
POROTO,1976,SALTA,LA VINA,800,800.0,1188.0,950
POROTO,1976,SALTA,METAN,44500,40700.0,631.0,25681
POROTO,1976,SALTA,ORAN,3000,3000.0,1333.0,3999
POROTO,1976,SALTA,ROSARIO DE LA FRONTERA,55000,45500.0,730.0,33215
POROTO,1976,SALTA,ROSARIO DE LERMA,2000,1950.0,1282.0,2499
POROTO,1976,SANTIAGO DEL ESTERO,JIMENEZ,700,700.0,900.0,630
POROTO,1976,SANTIAGO DEL ESTERO,PELLEGRINI,8000,8000.0,938.0,7504
POROTO,1976,TUCUMAN,BURRUYACU,5290,5020.0,848.0,4256
POROTO,1976,TUCUMAN,CRUZ ALTA,670,620.0,903.0,559
POROTO,1976,TUCUMAN,GRANEROS,1990,1990.0,900.0,1791
POROTO,1976,TUCUMAN,LEALES,280,200.0,915.0,183
POROTO,1976,TUCUMAN,TRANCAS,2250,2250.0,901.0,2027
POROTO,1977,CATAMARCA,EL ALTO,30,30.0,1000.0,30
POROTO,1977,CATAMARCA,SANTA ROSA,70,70.0,1000.0,70
POROTO,1977,JUJUY,EL CARMEN,800,800.0,933.0,746
POROTO,1977,JUJUY,SAN PEDRO,860,860.0,1035.0,890
POROTO,1977,JUJUY,SANTA BARBARA,930,930.0,1043.0,969
POROTO,1977,SALTA,ANTA,9000,8500.0,1024.0,8704
POROTO,1977,SALTA,CACHI,200,200.0,1000.0,200
POROTO,1977,SALTA,CAPITAL,500,500.0,900.0,450
POROTO,1977,SALTA,CERRILLOS,2300,1950.0,903.0,1760
POROTO,1977,SALTA,CHICOANA,1050,1050.0,871.0,914
POROTO,1977,SALTA,GENERAL GUEMES,1300,1300.0,1046.0,1359
POROTO,1977,SALTA,GENERAL JOSE DE SAN MARTIN,6300,5900.0,1186.0,6997
POROTO,1977,SALTA,LA CANDELARIA,6400,5600.0,1000.0,5600
POROTO,1977,SALTA,LA VINA,650,650.0,877.0,570
POROTO,1977,SALTA,METAN,30100,27100.0,996.0,26991
POROTO,1977,SALTA,ORAN,3640,3300.0,970.0,3201
POROTO,1977,SALTA,ROSARIO DE LA FRONTERA,39000,34700.0,951.0,32999
POROTO,1977,SALTA,ROSARIO DE LERMA,1400,1290.0,853.0,1100
POROTO,1977,SANTIAGO DEL ESTERO,JIMENEZ,2000,2000.0,1000.0,2000
POROTO,1977,SANTIAGO DEL ESTERO,PELLEGRINI,16000,16000.0,1013.0,16208
POROTO,1977,TUCUMAN,BURRUYACU,6000,5400.0,1000.0,5400
POROTO,1977,TUCUMAN,CRUZ ALTA,2500,2300.0,1000.0,2300
POROTO,1977,TUCUMAN,GRANEROS,3000,2900.0,1000.0,2900
POROTO,1977,TUCUMAN,LEALES,1000,900.0,1000.0,900
POROTO,1977,TUCUMAN,TRANCAS,2000,2000.0,1000.0,2000
POROTO,1978,CATAMARCA,EL ALTO,30,30.0,1200.0,36
POROTO,1978,CATAMARCA,SANTA ROSA,1310,1280.0,904.0,1157
POROTO,1978,CORDOBA,SANTA MARIA,5500,5500.0,1062.0,5841
POROTO,1978,JUJUY,EL CARMEN,820,820.0,1000.0,820
POROTO,1978,JUJUY,SAN PEDRO,1470,1470.0,1100.0,1617
POROTO,1978,JUJUY,SANTA BARBARA,3080,3080.0,1090.0,3357
POROTO,1978,SALTA,ANTA,29250,29250.0,955.0,27933
POROTO,1978,SALTA,CACHI,350,350.0,1100.0,385
POROTO,1978,SALTA,CERRILLOS,6511,6511.0,850.0,5534
POROTO,1978,SALTA,CHICOANA,1690,1590.0,806.0,1281
POROTO,1978,SALTA,GENERAL GUEMES,4758,4758.0,909.0,4325
POROTO,1978,SALTA,GENERAL JOSE DE SAN MARTIN,13950,13950.0,1014.0,14145
POROTO,1978,SALTA,LA CANDELARIA,8522,8522.0,907.0,7729
POROTO,1978,SALTA,LA VINA,1660,1660.0,723.0,1200
POROTO,1978,SALTA,METAN,34850,34850.0,918.0,31992
POROTO,1978,SALTA,ORAN,7050,7050.0,1007.0,7099
POROTO,1978,SALTA,ROSARIO DE LA FRONTERA,42620,42620.0,930.0,39636
POROTO,1978,SALTA,ROSARIO DE LERMA,160,160.0,750.0,120
POROTO,1978,SANTIAGO DEL ESTERO,CHOYA,1500,1500.0,1153.0,1729
POROTO,1978,SANTIAGO DEL ESTERO,GUASAYAN,2500,2000.0,1300.0,2600
POROTO,1978,SANTIAGO DEL ESTERO,JIMENEZ,11500,11000.0,1336.0,14696
POROTO,1978,SANTIAGO DEL ESTERO,PELLEGRINI,22000,21200.0,1349.0,28598
POROTO,1978,TUCUMAN,BURRUYACU,12923,11611.0,1125.0,13062
POROTO,1978,TUCUMAN,CRUZ ALTA,3018,2758.0,1122.0,3094
POROTO,1978,TUCUMAN,GRANEROS,3460,3284.0,1080.0,3546
POROTO,1978,TUCUMAN,LEALES,2651,2210.0,1111.0,2455
POROTO,1978,TUCUMAN,TRANCAS,5548,5137.0,1002.0,5147
POROTO,1979,CATAMARCA,EL ALTO,50,40.0,800.0,32
POROTO,1979,CATAMARCA,SANTA ROSA,2560,2210.0,732.0,1617
POROTO,1979,CORDOBA,SANTA MARIA,4000,4000.0,1066.0,4264
POROTO,1979,JUJUY,EL CARMEN,1150,1050.0,900.0,945
POROTO,1979,JUJUY,SAN PEDRO,4950,4365.0,882.0,3849
POROTO,1979,JUJUY,SANTA BARBARA,4750,4400.0,990.0,4356
POROTO,1979,SALTA,ANTA,36400,33600.0,721.0,24225
POROTO,1979,SALTA,CACHI,350,350.0,1000.0,350
POROTO,1979,SALTA,CAPITAL,1650,1550.0,816.0,1264
POROTO,1979,SALTA,CERRILLOS,5000,4700.0,900.0,4230
POROTO,1979,SALTA,CHICOANA,900,850.0,732.0,622
POROTO,1979,SALTA,GENERAL GUEMES,3350,2950.0,800.0,2360
POROTO,1979,SALTA,GENERAL JOSE DE SAN MARTIN,19250,16150.0,700.0,11305
POROTO,1979,SALTA,LA CANDELARIA,7450,6900.0,642.0,4429
POROTO,1979,SALTA,LA VINA,1900,1190.0,686.0,816
POROTO,1979,SALTA,METAN,28400,25900.0,733.0,18984
POROTO,1979,SALTA,ORAN,12700,10650.0,726.0,7731
POROTO,1979,SALTA,ROSARIO DE LA FRONTERA,39740,35950.0,595.0,21390
POROTO,1979,SALTA,ROSARIO DE LERMA,200,150.0,700.0,105
POROTO,1979,SANTIAGO DEL ESTERO,CHOYA,480,400.0,553.0,221
POROTO,1979,SANTIAGO DEL ESTERO,GUASAYAN,120,120.0,500.0,60
POROTO,1979,SANTIAGO DEL ESTERO,JIMENEZ,11673,10069.0,652.0,6564
POROTO,1979,SANTIAGO DEL ESTERO,PELLEGRINI,25579,21393.0,645.0,13798
POROTO,1979,SANTIAGO DEL ESTERO,RIO HONDO,370,240.0,779.0,186
POROTO,1979,TUCUMAN,BURRUYACU,12098,4620.0,772.0,3566
POROTO,1979,TUCUMAN,CRUZ ALTA,1407,522.0,743.0,387
POROTO,1979,TUCUMAN,GRANEROS,2358,964.0,772.0,744
POROTO,1979,TUCUMAN,LEALES,2877,1044.0,739.0,771
POROTO,1979,TUCUMAN,TRANCAS,3260,850.0,626.0,532
POROTO,1980,CATAMARCA,EL ALTO,80,80.0,1000.0,80
POROTO,1980,CATAMARCA,SANTA ROSA,2800,2800.0,1000.0,2800
POROTO,1980,CORDOBA,SANTA MARIA,3200,3200.0,1000.0,3200
POROTO,1980,JUJUY,EL CARMEN,700,700.0,1014.0,709
POROTO,1980,JUJUY,SAN PEDRO,4000,4000.0,1135.0,4540
POROTO,1980,JUJUY,SANTA BARBARA,4000,4000.0,1040.0,4160
POROTO,1980,SALTA,ANTA,37600,36350.0,1187.0,43147
POROTO,1980,SALTA,CACHI,150,150.0,1000.0,150
POROTO,1980,SALTA,CAPITAL,1710,1710.0,1136.0,1942
POROTO,1980,SALTA,CERRILLOS,3300,3300.0,1042.0,3438
POROTO,1980,SALTA,CHICOANA,250,250.0,920.0,230
POROTO,1980,SALTA,GENERAL GUEMES,2590,2590.0,1098.0,2843
POROTO,1980,SALTA,GENERAL JOSE DE SAN MARTIN,16450,15750.0,1138.0,17923
POROTO,1980,SALTA,LA CANDELARIA,6550,6550.0,863.0,5652
POROTO,1980,SALTA,LA VINA,2060,2060.0,978.0,2014
POROTO,1980,SALTA,METAN,27100,24150.0,776.0,18740
POROTO,1980,SALTA,ORAN,4710,4710.0,1157.0,5449
POROTO,1980,SALTA,ROSARIO DE LA FRONTERA,34950,30650.0,783.0,23998
POROTO,1980,SANTIAGO DEL ESTERO,CHOYA,379,379.0,1325.0,502
POROTO,1980,SANTIAGO DEL ESTERO,GUASAYAN,86,86.0,1302.0,111
POROTO,1980,SANTIAGO DEL ESTERO,JIMENEZ,10880,10880.0,1357.0,14764
POROTO,1980,SANTIAGO DEL ESTERO,PELLEGRINI,23230,23230.0,1350.0,31360
POROTO,1980,SANTIAGO DEL ESTERO,RIO HONDO,380,380.0,1350.0,513
POROTO,1980,TUCUMAN,BURRUYACU,14400,13700.0,1058.0,14494
POROTO,1980,TUCUMAN,CRUZ ALTA,3000,2900.0,1060.0,3074
POROTO,1980,TUCUMAN,GRANEROS,900,830.0,1084.0,899
POROTO,1980,TUCUMAN,LEALES,3030,2930.0,1067.0,3126
POROTO,1980,TUCUMAN,TRANCAS,3670,3600.0,1056.0,3801
POROTO,1981,CATAMARCA,EL ALTO,80,80.0,1000.0,80
POROTO,1981,CATAMARCA,SANTA ROSA,2000,2000.0,995.0,1990
POROTO,1981,CORDOBA,SANTA MARIA,4000,4000.0,1110.0,4440
POROTO,1981,JUJUY,EL CARMEN,1340,1340.0,1014.0,1358
POROTO,1981,JUJUY,SAN ANTONIO,30,30.0,1000.0,30
POROTO,1981,JUJUY,SAN PEDRO,2800,2800.0,1010.0,2828
POROTO,1981,JUJUY,SANTA BARBARA,2680,2680.0,1018.0,2728
POROTO,1981,SALTA,ANTA,55350,55350.0,1176.0,65091
POROTO,1981,SALTA,CACHI,1890,1890.0,1095.0,2069
POROTO,1981,SALTA,CAPITAL,540,540.0,1120.0,604
POROTO,1981,SALTA,CERRILLOS,3450,3300.0,1198.0,3953
POROTO,1981,SALTA,CHICOANA,360,360.0,1000.0,360
POROTO,1981,SALTA,GENERAL GUEMES,4950,4950.0,1100.0,5445
POROTO,1981,SALTA,GENERAL JOSE DE SAN MARTIN,20700,20450.0,1057.0,21615
POROTO,1981,SALTA,LA CANDELARIA,8700,6700.0,1190.0,7973
POROTO,1981,SALTA,LA VINA,1460,1460.0,1000.0,1460
POROTO,1981,SALTA,METAN,21750,21650.0,866.0,18748
POROTO,1981,SALTA,ORAN,5850,5850.0,1063.0,6218
POROTO,1981,SALTA,ROSARIO DE LA FRONTERA,31400,28300.0,853.0,24139
POROTO,1981,SANTIAGO DEL ESTERO,CHOYA,320,320.0,1316.0,421
POROTO,1981,SANTIAGO DEL ESTERO,GUASAYAN,77,77.0,1299.0,100
POROTO,1981,SANTIAGO DEL ESTERO,JIMENEZ,18267,18267.0,1380.0,25208
POROTO,1981,SANTIAGO DEL ESTERO,PELLEGRINI,20016,20016.0,1352.0,27061
POROTO,1981,SANTIAGO DEL ESTERO,RIO HONDO,413,413.0,1375.0,567
POROTO,1981,TUCUMAN,BURRUYACU,5979,5919.0,1009.0,5972
POROTO,1981,TUCUMAN,CRUZ ALTA,2280,2280.0,1146.0,2612
POROTO,1981,TUCUMAN,GRANEROS,2167,2167.0,1061.0,2299
POROTO,1981,TUCUMAN,LEALES,2162,2102.0,1125.0,2364
POROTO,1981,TUCUMAN,TRANCAS,3412,3352.0,969.0,3248
POROTO,1982,CATAMARCA,EL ALTO,100,100.0,1270.0,127
POROTO,1982,CATAMARCA,SANTA ROSA,1155,1155.0,1294.0,1494
POROTO,1982,CORDOBA,SANTA MARIA,3800,3800.0,1313.0,4989
POROTO,1982,JUJUY,EL CARMEN,3450,3000.0,1200.0,3600
POROTO,1982,JUJUY,SAN ANTONIO,100,100.0,1200.0,120
POROTO,1982,JUJUY,SAN PEDRO,6360,4360.0,1197.0,5218
POROTO,1982,JUJUY,SANTA BARBARA,5000,3500.0,1200.0,4200
POROTO,1982,SALTA,ANTA,45800,32300.0,984.0,31783
POROTO,1982,SALTA,CACHI,200,200.0,1000.0,200
POROTO,1982,SALTA,CAPITAL,1400,750.0,844.0,633
POROTO,1982,SALTA,CERRILLOS,5900,5750.0,1267.0,7285
POROTO,1982,SALTA,CHICOANA,900,250.0,600.0,150
POROTO,1982,SALTA,GENERAL GUEMES,6700,6550.0,626.0,4100
POROTO,1982,SALTA,GENERAL JOSE DE SAN MARTIN,21900,18200.0,1183.0,21530
POROTO,1982,SALTA,LA CANDELARIA,4300,4300.0,1088.0,4678
POROTO,1982,SALTA,LA VINA,800,150.0,720.0,108
POROTO,1982,SALTA,METAN,15600,15100.0,1132.0,17093
POROTO,1982,SALTA,ORAN,7600,6400.0,1052.0,6732
POROTO,1982,SALTA,ROSARIO DE LA FRONTERA,33300,32700.0,1038.0,33942
POROTO,1982,SANTIAGO DEL ESTERO,CHOYA,320,320.0,1184.0,378
POROTO,1982,SANTIAGO DEL ESTERO,GUASAYAN,77,77.0,1169.0,90
POROTO,1982,SANTIAGO DEL ESTERO,JIMENEZ,14298,14298.0,1234.0,17643
POROTO,1982,SANTIAGO DEL ESTERO,PELLEGRINI,20028,20028.0,1214.0,24313
POROTO,1982,SANTIAGO DEL ESTERO,RIO HONDO,320,320.0,1259.0,402
POROTO,1982,TUCUMAN,BURRUYACU,6600,6450.0,806.0,5198
POROTO,1982,TUCUMAN,CRUZ ALTA,3300,3250.0,923.0,2999
POROTO,1982,TUCUMAN,GRANEROS,1200,1050.0,952.0,999
POROTO,1982,TUCUMAN,LEALES,1560,1170.0,769.0,899
POROTO,1982,TUCUMAN,TRANCAS,4640,4200.0,976.0,4099
POROTO,1983,CATAMARCA,EL ALTO,100,100.0,800.0,80
POROTO,1983,CATAMARCA,SANTA ROSA,1140,1140.0,856.0,975
POROTO,1983,CORDOBA,SANTA MARIA,4300,3950.0,1228.0,4850
POROTO,1983,JUJUY,EL CARMEN,3500,3350.0,1000.0,3350
POROTO,1983,JUJUY,SAN PEDRO,8900,8500.0,1000.0,8500
POROTO,1983,JUJUY,SANTA BARBARA,1300,1300.0,1000.0,1300
POROTO,1983,SALTA,ANTA,41000,34250.0,971.0,33256
POROTO,1983,SALTA,CACHI,200,200.0,1000.0,200
POROTO,1983,SALTA,CAPITAL,1200,1050.0,1000.0,1050
POROTO,1983,SALTA,CERRILLOS,5200,4000.0,800.0,3200
POROTO,1983,SALTA,CHICOANA,700,500.0,800.0,400
POROTO,1983,SALTA,GENERAL GUEMES,6000,4000.0,1020.0,4080
POROTO,1983,SALTA,GENERAL JOSE DE SAN MARTIN,25000,21000.0,1080.0,22680
POROTO,1983,SALTA,LA CANDELARIA,4000,3550.0,1225.0,4348
POROTO,1983,SALTA,LA VINA,500,450.0,980.0,441
POROTO,1983,SALTA,METAN,14000,12300.0,1080.0,13284
POROTO,1983,SALTA,ORAN,6000,5400.0,960.0,5184
POROTO,1983,SALTA,ROSARIO DE LA FRONTERA,26000,22600.0,960.0,21696
POROTO,1983,SANTIAGO DEL ESTERO,CHOYA,300,280.0,1150.0,322
POROTO,1983,SANTIAGO DEL ESTERO,GUASAYAN,60,60.0,1000.0,60
POROTO,1983,SANTIAGO DEL ESTERO,JIMENEZ,13000,12620.0,1244.0,15699
POROTO,1983,SANTIAGO DEL ESTERO,PELLEGRINI,18271,17771.0,1183.0,21023
POROTO,1983,SANTIAGO DEL ESTERO,RIO HONDO,280,280.0,1250.0,350
